holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date_time,traffic_volume,Date,Year,Month,MonthName,Hour,DayOfWeek,IsWeekend,TempCelsius,TrafficCategory,IsHoliday
None,288.28,0.0,0.0,40,Clouds,scattered clouds,2012-10-02 09:00:00,5545,2012-10-02,2012,10,Oct,9,Tuesday,False,15.13,High,False
None,289.36,0.0,0.0,75,Clouds,broken clouds,2012-10-02 10:00:00,4516,2012-10-02,2012,10,Oct,10,Tuesday,False,16.21,Medium,False
None,289.58,0.0,0.0,90,Clouds,overcast clouds,2012-10-02 11:00:00,4767,2012-10-02,2012,10,Oct,11,Tuesday,False,16.43,Medium,False
None,290.13,0.0,0.0,90,Clouds,overcast clouds,2012-10-02 12:00:00,5026,2012-10-02,2012,10,Oct,12,Tuesday,False,16.98,Medium,False
None,291.14,0.0,0.0,75,Clouds,broken clouds,2012-10-02 13:00:00,4918,2012-10-02,2012,10,Oct,13,Tuesday,False,17.99,Medium,False
None,291.72,0.0,0.0,1,Clear,sky is clear,2012-10-02 14:00:00,5181,2012-10-02,2012,10,Oct,14,Tuesday,False,18.57,Medium,False
None,293.17,0.0,0.0,1,Clear,sky is clear,2012-10-02 15:00:00,5584,2012-10-02,2012,10,Oct,15,Tuesday,False,20.02,High,False
None,293.86,0.0,0.0,1,Clear,sky is clear,2012-10-02 16:00:00,6015,2012-10-02,2012,10,Oct,16,Tuesday,False,20.71,High,False
None,294.14,0.0,0.0,20,Clouds,few clouds,2012-10-02 17:00:00,5791,2012-10-02,2012,10,Oct,17,Tuesday,False,20.99,High,False
None,293.1,0.0,0.0,20,Clouds,few clouds,2012-10-02 18:00:00,4770,2012-10-02,2012,10,Oct,18,Tuesday,False,19.95,Medium,False
None,290.97,0.0,0.0,20,Clouds,few clouds,2012-10-02 19:00:00,3539,2012-10-02,2012,10,Oct,19,Tuesday,False,17.82,Low,False
None,289.38,0.0,0.0,1,Clear,sky is clear,2012-10-02 20:00:00,2784,2012-10-02,2012,10,Oct,20,Tuesday,False,16.23,Low,False
None,288.61,0.0,0.0,1,Clear,sky is clear,2012-10-02 21:00:00,2361,2012-10-02,2012,10,Oct,21,Tuesday,False,15.46,Low,False
None,287.16,0.0,0.0,1,Clear,sky is clear,2012-10-02 22:00:00,1529,2012-10-02,2012,10,Oct,22,Tuesday,False,14.01,Low,False
None,285.45,0.0,0.0,1,Clear,sky is clear,2012-10-02 23:00:00,963,2012-10-02,2012,10,Oct,23,Tuesday,False,12.3,Low,False
None,284.63,0.0,0.0,1,Clear,sky is clear,2012-10-03 00:00:00,506,2012-10-03,2012,10,Oct,0,Wednesday,False,11.48,Low,False
None,283.47,0.0,0.0,1,Clear,sky is clear,2012-10-03 01:00:00,321,2012-10-03,2012,10,Oct,1,Wednesday,False,10.32,Low,False
None,281.18,0.0,0.0,1,Clear,sky is clear,2012-10-03 02:00:00,273,2012-10-03,2012,10,Oct,2,Wednesday,False,8.03,Low,False
None,281.09,0.0,0.0,1,Clear,sky is clear,2012-10-03 03:00:00,367,2012-10-03,2012,10,Oct,3,Wednesday,False,7.94,Low,False
None,279.53,0.0,0.0,1,Clear,sky is clear,2012-10-03 04:00:00,814,2012-10-03,2012,10,Oct,4,Wednesday,False,6.38,Low,False
None,278.62,0.0,0.0,1,Clear,sky is clear,2012-10-03 05:00:00,2718,2012-10-03,2012,10,Oct,5,Wednesday,False,5.47,Low,False
None,278.23,0.0,0.0,1,Clear,sky is clear,2012-10-03 06:00:00,5673,2012-10-03,2012,10,Oct,6,Wednesday,False,5.08,High,False
None,278.12,0.0,0.0,1,Clear,sky is clear,2012-10-03 08:00:00,6511,2012-10-03,2012,10,Oct,8,Wednesday,False,4.97,High,False
None,282.48,0.0,0.0,1,Clear,sky is clear,2012-10-03 09:00:00,5471,2012-10-03,2012,10,Oct,9,Wednesday,False,9.33,Medium,False
None,291.97,0.0,0.0,1,Clear,sky is clear,2012-10-03 12:00:00,5097,2012-10-03,2012,10,Oct,12,Wednesday,False,18.82,Medium,False
None,293.23,0.0,0.0,1,Clear,sky is clear,2012-10-03 13:00:00,4887,2012-10-03,2012,10,Oct,13,Wednesday,False,20.08,Medium,False
None,294.31,0.0,0.0,1,Clear,sky is clear,2012-10-03 14:00:00,5337,2012-10-03,2012,10,Oct,14,Wednesday,False,21.16,Medium,False
None,295.17,0.0,0.0,1,Clear,sky is clear,2012-10-03 15:00:00,5692,2012-10-03,2012,10,Oct,15,Wednesday,False,22.02,High,False
None,295.13,0.0,0.0,1,Clear,sky is clear,2012-10-03 16:00:00,6137,2012-10-03,2012,10,Oct,16,Wednesday,False,21.98,High,False
None,293.66,0.0,0.0,20,Clouds,few clouds,2012-10-03 18:00:00,4623,2012-10-03,2012,10,Oct,18,Wednesday,False,20.51,Medium,False
None,290.65,0.0,0.0,20,Clouds,few clouds,2012-10-03 19:00:00,3591,2012-10-03,2012,10,Oct,19,Wednesday,False,17.5,Low,False
None,288.19,0.0,0.0,20,Clouds,few clouds,2012-10-03 20:00:00,2898,2012-10-03,2012,10,Oct,20,Wednesday,False,15.04,Low,False
None,287.1,0.0,0.0,1,Clear,sky is clear,2012-10-03 21:00:00,2637,2012-10-03,2012,10,Oct,21,Wednesday,False,13.95,Low,False
None,286.25,0.0,0.0,1,Clear,sky is clear,2012-10-03 22:00:00,1777,2012-10-03,2012,10,Oct,22,Wednesday,False,13.1,Low,False
None,285.26,0.0,0.0,1,Clear,sky is clear,2012-10-03 23:00:00,1015,2012-10-03,2012,10,Oct,23,Wednesday,False,12.11,Low,False
None,284.55,0.0,0.0,1,Clear,sky is clear,2012-10-04 00:00:00,598,2012-10-04,2012,10,Oct,0,Thursday,False,11.4,Low,False
None,283.47,0.0,0.0,1,Clear,sky is clear,2012-10-04 01:00:00,369,2012-10-04,2012,10,Oct,1,Thursday,False,10.32,Low,False
None,283.17,0.0,0.0,1,Clear,sky is clear,2012-10-04 02:00:00,312,2012-10-04,2012,10,Oct,2,Thursday,False,10.02,Low,False
None,282.04,0.0,0.0,1,Clear,sky is clear,2012-10-04 03:00:00,367,2012-10-04,2012,10,Oct,3,Thursday,False,8.89,Low,False
None,281.69,0.0,0.0,1,Clear,sky is clear,2012-10-04 04:00:00,835,2012-10-04,2012,10,Oct,4,Thursday,False,8.54,Low,False
None,281.32,0.0,0.0,1,Clear,sky is clear,2012-10-04 05:00:00,2726,2012-10-04,2012,10,Oct,5,Thursday,False,8.17,Low,False
None,280.74,0.0,0.0,1,Clear,sky is clear,2012-10-04 06:00:00,5689,2012-10-04,2012,10,Oct,6,Thursday,False,7.59,High,False
None,280.57,0.0,0.0,1,Clear,sky is clear,2012-10-04 07:00:00,6990,2012-10-04,2012,10,Oct,7,Thursday,False,7.42,High,False
None,281.86,0.0,0.0,1,Clear,sky is clear,2012-10-04 08:00:00,5985,2012-10-04,2012,10,Oct,8,Thursday,False,8.71,High,False
None,284.98,0.0,0.0,1,Clear,sky is clear,2012-10-04 09:00:00,5309,2012-10-04,2012,10,Oct,9,Thursday,False,11.83,Medium,False
None,289.18,0.0,0.0,1,Clear,sky is clear,2012-10-04 10:00:00,4603,2012-10-04,2012,10,Oct,10,Thursday,False,16.03,Medium,False
None,291.55,0.0,0.0,1,Clear,sky is clear,2012-10-04 11:00:00,4884,2012-10-04,2012,10,Oct,11,Thursday,False,18.4,Medium,False
None,294.97,0.0,0.0,1,Clear,sky is clear,2012-10-04 12:00:00,5104,2012-10-04,2012,10,Oct,12,Thursday,False,21.82,Medium,False
None,296.38,0.0,0.0,1,Clear,sky is clear,2012-10-04 13:00:00,5178,2012-10-04,2012,10,Oct,13,Thursday,False,23.23,Medium,False
None,297.32,0.0,0.0,1,Clear,sky is clear,2012-10-04 14:00:00,5501,2012-10-04,2012,10,Oct,14,Thursday,False,24.17,High,False
None,298.17,0.0,0.0,1,Clear,sky is clear,2012-10-04 15:00:00,5713,2012-10-04,2012,10,Oct,15,Thursday,False,25.02,High,False
None,298.06,0.0,0.0,20,Clouds,few clouds,2012-10-04 16:00:00,6292,2012-10-04,2012,10,Oct,16,Thursday,False,24.91,High,False
None,297.67,0.0,0.0,20,Clouds,few clouds,2012-10-04 17:00:00,6057,2012-10-04,2012,10,Oct,17,Thursday,False,24.52,High,False
None,296.36,0.0,0.0,40,Clouds,scattered clouds,2012-10-04 18:00:00,4907,2012-10-04,2012,10,Oct,18,Thursday,False,23.21,Medium,False
None,293.85,0.0,0.0,40,Clouds,scattered clouds,2012-10-04 19:00:00,3503,2012-10-04,2012,10,Oct,19,Thursday,False,20.7,Low,False
None,292.43,0.0,0.0,40,Clouds,scattered clouds,2012-10-04 20:00:00,3037,2012-10-04,2012,10,Oct,20,Thursday,False,19.28,Low,False
None,291.77,0.0,0.0,75,Clouds,broken clouds,2012-10-04 21:00:00,2822,2012-10-04,2012,10,Oct,21,Thursday,False,18.62,Low,False
None,291.36,0.0,0.0,75,Clouds,broken clouds,2012-10-04 22:00:00,1992,2012-10-04,2012,10,Oct,22,Thursday,False,18.21,Low,False
None,291.12,0.0,0.0,75,Clouds,broken clouds,2012-10-04 23:00:00,1166,2012-10-04,2012,10,Oct,23,Thursday,False,17.97,Low,False
None,290.63,0.0,0.0,75,Clouds,broken clouds,2012-10-05 00:00:00,627,2012-10-05,2012,10,Oct,0,Friday,False,17.48,Low,False
None,290.46,0.0,0.0,40,Clouds,scattered clouds,2012-10-05 01:00:00,388,2012-10-05,2012,10,Oct,1,Friday,False,17.31,Low,False
None,289.26,0.0,0.0,0,Clear,sky is clear,2012-10-05 03:00:00,368,2012-10-05,2012,10,Oct,3,Friday,False,16.11,Low,False
None,283.21,0.0,0.0,75,Clouds,broken clouds,2012-10-05 05:00:00,2489,2012-10-05,2012,10,Oct,5,Friday,False,10.06,Low,False
None,282.24,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 06:00:00,5537,2012-10-05,2012,10,Oct,6,Friday,False,9.09,High,False
None,281.69,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 07:00:00,6628,2012-10-05,2012,10,Oct,7,Friday,False,8.54,High,False
None,280.57,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 08:00:00,5534,2012-10-05,2012,10,Oct,8,Friday,False,7.42,High,False
None,280.02,0.0,0.0,75,Clouds,broken clouds,2012-10-05 09:00:00,5403,2012-10-05,2012,10,Oct,9,Friday,False,6.87,Medium,False
None,280.11,0.0,0.0,75,Clouds,broken clouds,2012-10-05 10:00:00,4770,2012-10-05,2012,10,Oct,10,Friday,False,6.96,Medium,False
None,280.0,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 11:00:00,5217,2012-10-05,2012,10,Oct,11,Friday,False,6.85,Medium,False
None,280.53,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 12:00:00,5870,2012-10-05,2012,10,Oct,12,Friday,False,7.38,High,False
None,281.43,0.0,0.0,75,Clouds,broken clouds,2012-10-05 13:00:00,5967,2012-10-05,2012,10,Oct,13,Friday,False,8.28,High,False
None,281.78,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 14:00:00,6108,2012-10-05,2012,10,Oct,14,Friday,False,8.63,High,False
None,281.91,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 15:00:00,6128,2012-10-05,2012,10,Oct,15,Friday,False,8.76,High,False
None,281.73,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 16:00:00,6069,2012-10-05,2012,10,Oct,16,Friday,False,8.58,High,False
None,281.42,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 17:00:00,6169,2012-10-05,2012,10,Oct,17,Friday,False,8.27,High,False
None,280.87,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 18:00:00,5384,2012-10-05,2012,10,Oct,18,Friday,False,7.72,Medium,False
None,280.15,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 19:00:00,4063,2012-10-05,2012,10,Oct,19,Friday,False,7.0,Low,False
None,279.78,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 20:00:00,3364,2012-10-05,2012,10,Oct,20,Friday,False,6.63,Low,False
None,279.65,0.0,0.0,75,Clouds,broken clouds,2012-10-05 21:00:00,2971,2012-10-05,2012,10,Oct,21,Friday,False,6.5,Low,False
None,279.22,0.0,0.0,40,Clouds,scattered clouds,2012-10-05 22:00:00,2450,2012-10-05,2012,10,Oct,22,Friday,False,6.07,Low,False
None,279.06,0.0,0.0,40,Clouds,scattered clouds,2012-10-05 23:00:00,1832,2012-10-05,2012,10,Oct,23,Friday,False,5.91,Low,False
None,278.81,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 00:00:00,1231,2012-10-06,2012,10,Oct,0,Saturday,True,5.66,Low,False
None,278.55,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 01:00:00,718,2012-10-06,2012,10,Oct,1,Saturday,True,5.4,Low,False
None,278.59,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 02:00:00,545,2012-10-06,2012,10,Oct,2,Saturday,True,5.44,Low,False
None,276.99,0.0,0.0,75,Clouds,broken clouds,2012-10-06 04:00:00,411,2012-10-06,2012,10,Oct,4,Saturday,True,3.84,Low,False
None,276.35,0.0,0.0,20,Clouds,few clouds,2012-10-06 05:00:00,688,2012-10-06,2012,10,Oct,5,Saturday,True,3.2,Low,False
None,275.4,0.0,0.0,1,Clear,sky is clear,2012-10-06 06:00:00,1352,2012-10-06,2012,10,Oct,6,Saturday,True,2.25,Low,False
None,275.17,0.0,0.0,1,Clear,sky is clear,2012-10-06 07:00:00,2072,2012-10-06,2012,10,Oct,7,Saturday,True,2.02,Low,False
None,274.99,0.0,0.0,1,Clear,sky is clear,2012-10-06 08:00:00,3342,2012-10-06,2012,10,Oct,8,Saturday,True,1.84,Low,False
None,275.09,0.0,0.0,40,Clouds,scattered clouds,2012-10-06 09:00:00,4258,2012-10-06,2012,10,Oct,9,Saturday,True,1.94,Low,False
