date_time,hour,traffic_volume,weather_main,congestion_category,cluster
2012-10-02 09:00:00,9,5545,Clouds,Severe,2
2012-10-02 10:00:00,10,4516,Clouds,High,2
2012-10-02 11:00:00,11,4767,Clouds,High,2
2012-10-02 12:00:00,12,5026,Clouds,Severe,2
2012-10-02 13:00:00,13,4918,Clouds,High,2
2012-10-02 14:00:00,14,5181,Clear,Severe,2
2012-10-02 15:00:00,15,5584,Clear,Severe,2
2012-10-02 16:00:00,16,6015,Clear,Severe,2
2012-10-02 17:00:00,17,5791,Clouds,Severe,2
2012-10-02 18:00:00,18,4770,Clouds,High,2
2012-10-02 19:00:00,19,3539,Clouds,High,2
2012-10-02 20:00:00,20,2784,Clear,Medium,2
2012-10-02 21:00:00,21,2361,Clear,Medium,2
2012-10-02 22:00:00,22,1529,Clear,Medium,2
2012-10-02 23:00:00,23,963,Clear,Low,2
2012-10-03 00:00:00,0,506,Clear,Low,0
2012-10-03 01:00:00,1,321,Clear,Low,0
2012-10-03 02:00:00,2,273,Clear,Low,0
2012-10-03 03:00:00,3,367,Clear,Low,0
2012-10-03 04:00:00,4,814,Clear,Low,0
2012-10-03 05:00:00,5,2718,Clear,Medium,0
2012-10-03 06:00:00,6,5673,Clear,Severe,3
2012-10-03 08:00:00,8,6511,Clear,Severe,3
2012-10-03 09:00:00,9,5471,Clear,Severe,2
2012-10-03 12:00:00,12,5097,Clear,Severe,2
2012-10-03 13:00:00,13,4887,Clear,High,2
2012-10-03 14:00:00,14,5337,Clear,Severe,2
2012-10-03 15:00:00,15,5692,Clear,Severe,2
2012-10-03 16:00:00,16,6137,Clear,Severe,2
2012-10-03 18:00:00,18,4623,Clouds,High,2
2012-10-03 19:00:00,19,3591,Clouds,High,2
2012-10-03 20:00:00,20,2898,Clouds,Medium,2
2012-10-03 21:00:00,21,2637,Clear,Medium,2
2012-10-03 22:00:00,22,1777,Clear,Medium,2
2012-10-03 23:00:00,23,1015,Clear,Low,2
2012-10-04 00:00:00,0,598,Clear,Low,0
2012-10-04 01:00:00,1,369,Clear,Low,0
2012-10-04 02:00:00,2,312,Clear,Low,0
2012-10-04 03:00:00,3,367,Clear,Low,0
2012-10-04 04:00:00,4,835,Clear,Low,0
2012-10-04 05:00:00,5,2726,Clear,Medium,0
2012-10-04 06:00:00,6,5689,Clear,Severe,3
2012-10-04 07:00:00,7,6990,Clear,Severe,3
2012-10-04 08:00:00,8,5985,Clear,Severe,2
2012-10-04 09:00:00,9,5309,Clear,Severe,2
2012-10-04 10:00:00,10,4603,Clear,High,2
2012-10-04 11:00:00,11,4884,Clear,High,2
2012-10-04 12:00:00,12,5104,Clear,Severe,2
2012-10-04 13:00:00,13,5178,Clear,Severe,2
2012-10-04 14:00:00,14,5501,Clear,Severe,2
2012-10-04 15:00:00,15,5713,Clear,Severe,2
2012-10-04 16:00:00,16,6292,Clouds,Severe,2
2012-10-04 17:00:00,17,6057,Clouds,Severe,2
2012-10-04 18:00:00,18,4907,Clouds,High,2
2012-10-04 19:00:00,19,3503,Clouds,High,2
2012-10-04 20:00:00,20,3037,Clouds,Medium,2
2012-10-04 21:00:00,21,2822,Clouds,Medium,2
2012-10-04 22:00:00,22,1992,Clouds,Medium,2
2012-10-04 23:00:00,23,1166,Clouds,Low,2
2012-10-05 00:00:00,0,627,Clouds,Low,0
2012-10-05 01:00:00,1,388,Clouds,Low,0
2012-10-05 03:00:00,3,368,Clear,Low,0
2012-10-05 05:00:00,5,2489,Clouds,Medium,0
2012-10-05 06:00:00,6,5537,Clouds,Severe,2
2012-10-05 07:00:00,7,6628,Clouds,Severe,2
2012-10-05 08:00:00,8,5534,Clouds,Severe,3
2012-10-05 09:00:00,9,5403,Clouds,Severe,3
2012-10-05 10:00:00,10,4770,Clouds,High,3
2012-10-05 11:00:00,11,5217,Clouds,Severe,3
2012-10-05 12:00:00,12,5870,Clouds,Severe,3
2012-10-05 13:00:00,13,5967,Clouds,Severe,2
2012-10-05 14:00:00,14,6108,Clouds,Severe,2
2012-10-05 15:00:00,15,6128,Clouds,Severe,2
2012-10-05 16:00:00,16,6069,Clouds,Severe,2
2012-10-05 17:00:00,17,6169,Clouds,Severe,2
2012-10-05 18:00:00,18,5384,Clouds,Severe,2
2012-10-05 19:00:00,19,4063,Clouds,High,3
2012-10-05 20:00:00,20,3364,Clouds,Medium,3
2012-10-05 21:00:00,21,2971,Clouds,Medium,3
2012-10-05 22:00:00,22,2450,Clouds,Medium,3
2012-10-05 23:00:00,23,1832,Clouds,Medium,3
2012-10-06 00:00:00,0,1231,Clouds,Low,0
2012-10-06 01:00:00,1,718,Clouds,Low,0
2012-10-06 02:00:00,2,545,Clouds,Low,0
2012-10-06 04:00:00,4,411,Clouds,Low,0
2012-10-06 05:00:00,5,688,Clouds,Low,0
2012-10-06 06:00:00,6,1352,Clear,Medium,0
2012-10-06 07:00:00,7,2072,Clear,Medium,0
2012-10-06 08:00:00,8,3342,Clear,Medium,3
2012-10-06 09:00:00,9,4258,Clouds,High,3
2012-10-06 10:00:00,10,4861,Clouds,High,3
2012-10-06 11:00:00,11,5191,Clouds,Severe,3
2012-10-06 12:00:00,12,5669,Clouds,Severe,3
2012-10-06 13:00:00,13,5074,Clouds,Severe,3
2012-10-06 14:00:00,14,5025,Clouds,Severe,3
2012-10-06 15:00:00,15,5153,Clouds,Severe,3
2012-10-06 16:00:00,16,5024,Clouds,Severe,3
2012-10-06 17:00:00,17,4779,Clouds,High,3
2012-10-06 18:00:00,18,4362,Clouds,High,3
2012-10-06 19:00:00,19,3860,Clouds,High,3
2012-10-06 20:00:00,20,3160,Clouds,Medium,3
2012-10-06 21:00:00,21,2992,Clouds,Medium,3
2012-10-06 22:00:00,22,3202,Clouds,Medium,3
2012-10-06 23:00:00,23,1941,Clouds,Medium,3
2012-10-07 00:00:00,0,1233,Clouds,Low,0
2012-10-07 03:00:00,3,323,Clouds,Low,0
2012-10-07 04:00:00,4,312,Clouds,Low,0
2012-10-07 05:00:00,5,627,Clouds,Low,0
2012-10-07 06:00:00,6,1508,Clouds,Medium,0
2012-10-07 07:00:00,7,1539,Clouds,Medium,0
2012-10-07 08:00:00,8,2232,Clouds,Medium,0
2012-10-07 09:00:00,9,4568,Clouds,High,3
2012-10-07 10:00:00,10,4624,Clouds,High,3
2012-10-07 11:00:00,11,4529,Clouds,High,3
2012-10-07 12:00:00,12,5139,Clouds,Severe,3
2012-10-07 13:00:00,13,6640,Clouds,Severe,3
2012-10-07 14:00:00,14,6589,Clouds,Severe,3
2012-10-07 15:00:00,15,4429,Clouds,High,3
2012-10-07 16:00:00,16,4329,Clouds,High,3
2012-10-07 17:00:00,17,3833,Clouds,High,3
2012-10-07 18:00:00,18,4015,Clouds,High,3
2012-10-07 19:00:00,19,3382,Clouds,Medium,3
2012-10-07 20:00:00,20,2815,Clouds,Medium,3
2012-10-07 21:00:00,21,2110,Clouds,Medium,3
2012-10-07 22:00:00,22,1555,Clouds,Medium,3
2012-10-07 23:00:00,23,959,Clouds,Low,3
2012-10-08 00:00:00,0,455,Clouds,Low,0
2012-10-08 01:00:00,1,336,Clouds,Low,0
2012-10-08 02:00:00,2,265,Clear,Low,0
2012-10-08 03:00:00,3,314,Clear,Low,0
2012-10-08 04:00:00,4,779,Clear,Low,0
2012-10-08 05:00:00,5,2571,Clear,Medium,0
2012-10-08 06:00:00,6,5563,Clouds,Severe,3
2012-10-08 07:00:00,7,6676,Clouds,Severe,3
2012-10-08 08:00:00,8,5966,Clouds,Severe,3
2012-10-08 09:00:00,9,4832,Clouds,High,3
2012-10-08 10:00:00,10,4395,Clouds,High,3
2012-10-08 11:00:00,11,4411,Clouds,High,3
2012-10-08 12:00:00,12,4648,Clear,High,3
2012-10-08 13:00:00,13,4602,Clouds,High,2
2012-10-08 14:00:00,14,5125,Clouds,Severe,2
2012-10-08 15:00:00,15,5502,Clear,Severe,2
2012-10-08 16:00:00,16,5979,Clear,Severe,2
2012-10-08 17:00:00,17,5663,Clouds,Severe,2
2012-10-08 18:00:00,18,4259,Clouds,High,2
2012-10-08 19:00:00,19,3069,Clouds,Medium,2
2012-10-08 20:00:00,20,2378,Clear,Medium,3
2012-10-08 21:00:00,21,2030,Clear,Medium,3
2012-10-08 22:00:00,22,1400,Clear,Medium,3
2012-10-08 23:00:00,23,917,Clear,Low,3
2012-10-09 00:00:00,0,515,Clear,Low,0
2012-10-09 01:00:00,1,302,Clear,Low,0
2012-10-09 02:00:00,2,251,Clear,Low,0
2012-10-09 04:00:00,4,798,Clouds,Low,0
2012-10-09 05:00:00,5,2678,Clouds,Medium,0
2012-10-09 06:00:00,6,5733,Clouds,Severe,3
2012-10-09 07:00:00,7,6449,Clouds,Severe,3
2012-10-09 08:00:00,8,5765,Clouds,Severe,3
2012-10-09 09:00:00,9,5599,Clouds,Severe,3
2012-10-09 10:00:00,10,4534,Clouds,High,2
2012-10-09 11:00:00,11,4691,Clouds,High,2
2012-10-09 12:00:00,12,5067,Clouds,Severe,2
2012-10-09 13:00:00,13,5030,Clouds,Severe,2
2012-10-09 14:00:00,14,5300,Clouds,Severe,2
2012-10-09 15:00:00,15,5777,Rain,Severe,1
2012-10-09 16:00:00,16,6349,Clouds,Severe,2
2012-10-09 17:00:00,17,6127,Clouds,Severe,2
2012-10-09 18:00:00,18,4460,Clouds,High,2
2012-10-09 19:00:00,19,3418,Clouds,Medium,2
2012-10-09 20:00:00,20,2775,Clouds,Medium,2
2012-10-09 21:00:00,21,2306,Clouds,Medium,2
2012-10-09 22:00:00,22,1846,Clouds,Medium,2
2012-10-09 23:00:00,23,947,Clouds,Low,2
2012-10-10 00:00:00,0,494,Clouds,Low,0
2012-10-10 01:00:00,1,332,Clouds,Low,0
2012-10-10 02:00:00,2,261,Clouds,Low,0
2012-10-10 03:00:00,3,361,Clouds,Low,0
2012-10-10 06:00:00,6,5875,Clear,Severe,2
2012-10-10 07:00:00,7,6793,Rain,Severe,1
2012-10-10 08:00:00,8,6283,Rain,Severe,1
2012-10-10 09:00:00,9,5680,Rain,Severe,1
2012-10-10 10:00:00,10,4632,Clear,High,3
2012-10-10 11:00:00,11,4887,Clear,High,3
2012-10-10 12:00:00,12,5030,Clouds,Severe,2
2012-10-10 13:00:00,13,5067,Clouds,Severe,2
2012-10-10 14:00:00,14,5227,Clouds,Severe,2
2012-10-10 15:00:00,15,5610,Clouds,Severe,2
2012-10-10 16:00:00,16,6286,Clear,Severe,2
2012-10-10 18:00:00,18,4775,Clear,High,2
2012-10-10 19:00:00,19,3340,Clear,Medium,2
2012-10-10 20:00:00,20,3013,Clear,Medium,2
2012-10-10 21:00:00,21,2603,Clear,Medium,2
2012-10-10 22:00:00,22,1910,Clear,Medium,2
2012-10-10 23:00:00,23,1037,Clear,Low,2
2012-10-11 01:00:00,1,347,Clear,Low,0
2012-10-11 03:00:00,3,350,Clouds,Low,0
2012-10-11 04:00:00,4,850,Clouds,Low,0
2012-10-11 05:00:00,5,2791,Clouds,Medium,0
2012-10-11 06:00:00,6,5809,Clear,Severe,3
2012-10-11 07:00:00,7,6798,Clear,Severe,3
2012-10-11 08:00:00,8,6304,Clear,Severe,3
2012-10-11 09:00:00,9,5291,Clouds,Severe,3
2012-10-11 10:00:00,10,4638,Clear,High,3
2012-10-11 14:00:00,14,5557,Clear,Severe,2
2012-10-11 15:00:00,15,5818,Clear,Severe,2
2012-10-11 16:00:00,16,6272,Clouds,Severe,2
2012-10-11 17:00:00,17,5944,Clouds,Severe,2
2012-10-11 18:00:00,18,4949,Clouds,High,2
2012-10-11 19:00:00,19,3511,Clouds,High,2
2012-10-11 20:00:00,20,3039,Clouds,Medium,2
2012-10-11 21:00:00,21,2679,Clouds,Medium,2
2012-10-11 22:00:00,22,2094,Clouds,Medium,2
2012-10-11 23:00:00,23,1284,Clouds,Medium,2
2012-10-12 00:00:00,0,630,Clouds,Low,0
2012-10-12 01:00:00,1,410,Clouds,Low,0
2012-10-12 02:00:00,2,331,Clouds,Low,0
2012-10-12 03:00:00,3,372,Drizzle,Low,0
2012-10-12 04:00:00,4,739,Rain,Low,0
2012-10-12 05:00:00,5,2561,Drizzle,Medium,0
2012-10-12 06:00:00,6,5586,Clouds,Severe,3
2012-10-12 07:00:00,7,6992,Clouds,Severe,3
2012-10-12 08:00:00,8,5860,Clouds,Severe,3
2012-10-12 09:00:00,9,5230,Clouds,Severe,3
2012-10-12 10:00:00,10,4864,Clouds,High,3
2012-10-12 11:00:00,11,5146,Clouds,Severe,3
2012-10-12 12:00:00,12,5526,Clouds,Severe,2
2012-10-12 13:00:00,13,5383,Clouds,Severe,2
2012-10-12 14:00:00,14,5758,Clouds,Severe,2
2012-10-12 15:00:00,15,5889,Clouds,Severe,2
2012-10-12 16:00:00,16,6057,Clouds,Severe,2
2012-10-12 17:00:00,17,6028,Clouds,Severe,2
2012-10-12 18:00:00,18,5257,Clouds,Severe,3
2012-10-12 23:00:00,23,1897,Clear,Medium,2
2012-10-13 00:00:00,0,1335,Clear,Medium,0
2012-10-13 01:00:00,1,769,Clear,Low,0
2012-10-13 02:00:00,2,570,Clear,Low,0
2012-10-13 03:00:00,3,413,Clouds,Low,0
2012-10-13 04:00:00,4,399,Clear,Low,0
2012-10-13 05:00:00,5,740,Clear,Low,0
2012-10-13 06:00:00,6,1420,Clear,Medium,0
2012-10-13 07:00:00,7,2220,Clouds,Medium,0
2012-10-13 08:00:00,8,3479,Clouds,High,3
2012-10-13 09:00:00,9,4546,Clouds,High,3
2012-10-13 10:00:00,10,4579,Clouds,High,3
2012-10-13 11:00:00,11,4438,Clear,High,3
2012-10-13 12:00:00,12,4623,Clear,High,3
2012-10-13 13:00:00,13,4440,Clear,High,2
2012-10-13 14:00:00,14,4495,Clear,High,2
2012-10-13 15:00:00,15,4483,Clear,High,2
2012-10-13 16:00:00,16,4591,Clear,High,2
2012-10-13 17:00:00,17,4477,Clear,High,2
2012-10-13 18:00:00,18,4221,Clear,High,2
2012-10-13 19:00:00,19,3672,Clouds,High,2
2012-10-13 20:00:00,20,3015,Clear,Medium,2
2012-10-13 21:00:00,21,2769,Clouds,Medium,2
2012-10-13 22:00:00,22,2875,Clouds,Medium,2
2012-10-13 23:00:00,23,1931,Clouds,Medium,2
2012-10-14 00:00:00,0,1309,Clouds,Medium,0
2012-10-14 01:00:00,1,870,Clouds,Low,0
2012-10-14 02:00:00,2,654,Clouds,Low,0
2012-10-14 03:00:00,3,364,Clouds,Low,0
2012-10-14 04:00:00,4,262,Clouds,Low,0
2012-10-14 05:00:00,5,505,Clouds,Low,0
2012-10-14 06:00:00,6,861,Clouds,Low,0
2012-10-14 07:00:00,7,1132,Clouds,Low,0
2012-10-14 08:00:00,8,1797,Mist,Medium,0
2012-10-14 09:00:00,9,2685,Drizzle,Medium,1
2012-10-14 10:00:00,10,3370,Drizzle,Medium,1
2012-10-14 11:00:00,11,3662,Drizzle,High,1
2012-10-14 12:00:00,12,4076,Rain,High,1
2012-10-14 13:00:00,13,4128,Rain,High,1
2012-10-14 14:00:00,14,4358,Rain,High,1
2012-10-14 15:00:00,15,4342,Rain,High,1
2012-10-14 16:00:00,16,4234,Mist,High,2
2012-10-14 17:00:00,17,4271,Rain,High,1
